,R1-F1,R1-F1,R1-F1,R1-F1,R1-F1,R1-F1,R2-F1,R2-F1,R2-F1,R2-F1,R2-F1,R2-F1,RL-F1,RL-F1,RL-F1,RL-F1,RL-F1,RL-F1,RLsum-F1,RLsum-F1,RLsum-F1,RLsum-F1,RLsum-F1,RLsum-F1
,1-2,1-3,1-4,2-3,2-4,3-4,1-2,1-3,1-4,2-3,2-4,3-4,1-2,1-3,1-4,2-3,2-4,3-4,1-2,1-3,1-4,2-3,2-4,3-4
paper_id,,,,,,,,,,,,,,,,,,,,,,,,
SP:03835515e384595fed6194e175bfe4c8a958d76d,0.3368421052631579,0.4069264069264069,0.31868131868131866,0.2995169082125604,0.32911392405063294,0.35175879396984927,0.05319148936170213,0.14847161572052403,0.09999999999999999,0.06829268292682927,0.05128205128205129,0.1218274111675127,0.19999999999999998,0.21645021645021645,0.1978021978021978,0.19323671497584544,0.21518987341772147,0.25125628140703515,0.19999999999999998,0.21645021645021645,0.1978021978021978,0.19323671497584544,0.21518987341772147,0.25125628140703515
SP:038a7b8f17841622fff5e7b9e5314c39c07530ba,0.3350253807106599,0.36734693877551017,0.3387978142076503,0.3018867924528302,0.33870967741935487,0.38383838383838376,0.041025641025641026,0.11034482758620691,0.08839779005524863,0.0761904761904762,0.10569105691056911,0.08163265306122448,0.21319796954314718,0.20408163265306123,0.18579234972677594,0.18867924528301885,0.17741935483870966,0.18181818181818185,0.21319796954314718,0.20408163265306123,0.18579234972677594,0.18867924528301885,0.17741935483870966,0.18181818181818185
SP:03ab8a4a0a94fc09228f65e36a5e2ec22fe04236,0.3862068965517241,0.32116788321167883,0.295774647887324,0.3283582089552239,0.26334519572953735,0.3003663003663004,0.0839160839160839,0.044444444444444446,0.07801418439716312,0.060606060606060615,0.05017921146953405,0.04428044280442804,0.27586206896551724,0.21897810218978103,0.17605633802816897,0.208955223880597,0.12099644128113878,0.16117216117216115,0.27586206896551724,0.21897810218978103,0.17605633802816897,0.208955223880597,0.12099644128113878,0.16117216117216115
SP:03ad9079ac0ea868f961f995b0094270cdf2d162,0.3375,0.340632603406326,0.28977272727272724,0.3820224719101124,0.37823834196891193,0.3974763406940063,0.04602510460251046,0.05378973105134474,0.02857142857142857,0.08577878103837472,0.06770833333333333,0.08253968253968255,0.16666666666666669,0.16058394160583941,0.17045454545454541,0.15280898876404495,0.15544041450777202,0.2082018927444795,0.16666666666666669,0.16058394160583941,0.17045454545454541,0.15280898876404495,0.15544041450777202,0.2082018927444795
SP:03b91432585ae8c66c1f494e9e0d73be7e159b6d,0.3364485981308411,0.5031847133757962,0.4761904761904762,0.39708561020036426,0.45884413309982486,0.48,0.075046904315197,0.09615384615384615,0.1616766467065868,0.1206581352833638,0.1546572934973638,0.14367816091954025,0.19065420560747662,0.25477707006369427,0.2619047619047619,0.21857923497267762,0.22416812609457096,0.2571428571428572,0.19065420560747662,0.25477707006369427,0.2619047619047619,0.21857923497267762,0.22416812609457096,0.2571428571428572
SP:040bd4d3243cd4957aee23cc70c1951c44c2b995,0.39024390243902435,0.5368421052631579,0.4639175257731959,0.3068181818181818,0.3888888888888889,0.4077669902912621,0.07407407407407407,0.2021276595744681,0.08333333333333334,0.06896551724137931,0.07865168539325842,0.08823529411764706,0.2804878048780488,0.30526315789473685,0.22680412371134023,0.18181818181818182,0.2111111111111111,0.20388349514563106,0.2804878048780488,0.30526315789473685,0.22680412371134023,0.18181818181818182,0.2111111111111111,0.20388349514563106
SP:041bcac0ae2b896a04f6d6c828cbfbbb8a0164b8,0.32558139534883723,0.3787878787878788,0.2887323943661972,0.28571428571428575,0.23616236162361626,0.24817518248175183,0.04724409448818897,0.09230769230769231,0.09219858156028368,0.06837606837606838,0.04460966542750929,0.0661764705882353,0.23255813953488372,0.24242424242424243,0.14084507042253522,0.20168067226890757,0.14022140221402213,0.145985401459854,0.23255813953488372,0.24242424242424243,0.14084507042253522,0.20168067226890757,0.14022140221402213,0.145985401459854
SP:0458a032f69e3f5b6b7cb0e791fc50c04bb294c4,0.4305949008498584,0.3765432098765432,0.30246913580246915,0.43983402489626555,0.32365145228215764,0.29245283018867924,0.09686609686609686,0.09937888198757763,0.043478260869565216,0.1506276150627615,0.0502092050209205,0.0761904761904762,0.2039660056657224,0.19135802469135804,0.16049382716049385,0.2655601659751037,0.14937759336099585,0.1792452830188679,0.2039660056657224,0.19135802469135804,0.16049382716049385,0.2655601659751037,0.14937759336099585,0.1792452830188679
SP:047c430d10180e9ce4cb5d8bb2c6f199a4a6f5ca,0.2702702702702703,0.3116883116883117,0.25,0.33749999999999997,0.28155339805825247,0.38679245283018865,0.013698630136986302,0.03947368421052632,0.0303030303030303,0.05063291139240506,0.049019607843137254,0.09523809523809523,0.13513513513513514,0.19480519480519481,0.18999999999999997,0.2125,0.18446601941747573,0.2169811320754717,0.13513513513513514,0.19480519480519481,0.18999999999999997,0.2125,0.18446601941747573,0.2169811320754717
SP:04ba539f55ee6f32b40e6800dcd79a49dc289e98,0.32124352331606215,0.37185929648241206,0.38190954773869346,0.3333333333333333,0.25,0.3793103448275862,0.06282722513089005,0.07106598984771574,0.10152284263959391,0.03614457831325301,0.03614457831325301,0.06976744186046512,0.19689119170984457,0.20100502512562815,0.2613065326633166,0.2142857142857143,0.16666666666666666,0.20689655172413793,0.19689119170984457,0.20100502512562815,0.2613065326633166,0.2142857142857143,0.16666666666666666,0.20689655172413793
SP:04d65c18e7c54d8cb64f2dd181a3c7033e1e4197,0.30622009569377995,0.3707317073170732,0.40909090909090906,0.35064935064935066,0.30769230769230765,0.3151515151515151,0.03864734299516908,0.07881773399014778,0.11009174311926605,0.05263157894736842,0.04790419161676647,0.049079754601226995,0.1626794258373206,0.17560975609756097,0.20909090909090908,0.2077922077922078,0.20118343195266272,0.1818181818181818,0.1626794258373206,0.17560975609756097,0.20909090909090908,0.2077922077922078,0.20118343195266272,0.1818181818181818
SP:053831a5cd063ed2709bc84c909e614bda71ad29,0.33999999999999997,0.3905325443786982,0.3926940639269406,0.40462427745664736,0.37668161434977576,0.35416666666666663,0.0606060606060606,0.10778443113772455,0.07373271889400922,0.08187134502923978,0.045248868778280535,0.08421052631578947,0.19,0.1893491124260355,0.20091324200913244,0.21965317919075145,0.26008968609865474,0.22916666666666666,0.19,0.1893491124260355,0.20091324200913244,0.21965317919075145,0.26008968609865474,0.22916666666666666
SP:05655e56ebbbbf501d35d93fa16630daf6a308fd,0.3619047619047619,0.4031620553359684,0.2802547770700637,0.4,0.27218934911242604,0.3018867924528302,0.08653846153846154,0.08764940239043825,0.05161290322580645,0.10646387832699618,0.0718562874251497,0.08571428571428572,0.21904761904761905,0.1818181818181818,0.17834394904458598,0.1962264150943396,0.2011834319526627,0.17924528301886794,0.21904761904761905,0.1818181818181818,0.17834394904458598,0.1962264150943396,0.2011834319526627,0.17924528301886794
SP:056e7e83a31fb1cb71fc53e1c6d7fb6ca203a87d,0.37068965517241376,0.24615384615384614,0.42201834862385323,0.1794871794871795,0.38524590163934425,0.22535211267605637,0.07826086956521738,0.03125,0.1111111111111111,0.025974025974025976,0.09917355371900827,0.0,0.18103448275862072,0.13846153846153847,0.2201834862385321,0.10256410256410256,0.22131147540983606,0.14084507042253522,0.18103448275862072,0.13846153846153847,0.2201834862385321,0.10256410256410256,0.22131147540983606,0.14084507042253522
SP:0595d86b01ad6fe82e6afa8987a061e17980fa41,0.3815789473684211,0.39316239316239315,0.39097744360902253,0.4370860927152318,0.3592814371257485,0.3484848484848485,0.10666666666666666,0.06956521739130435,0.0916030534351145,0.1342281879194631,0.03636363636363636,0.06153846153846154,0.2236842105263158,0.25641025641025644,0.24060150375939848,0.27814569536423844,0.17964071856287425,0.2272727272727273,0.2236842105263158,0.25641025641025644,0.24060150375939848,0.27814569536423844,0.17964071856287425,0.2272727272727273
SP:06309da5b76c411a1c746affb2357894dafa9b59,0.2153846153846154,0.2857142857142857,0.2814814814814815,0.3473389355742297,0.22672064777327935,0.2327586206896552,0.031007751937984496,0.04938271604938272,0.015037593984962405,0.08450704225352113,0.02448979591836735,0.034782608695652174,0.13846153846153847,0.17142857142857143,0.16296296296296295,0.17927170868347342,0.12955465587044537,0.17241379310344826,0.13846153846153847,0.17142857142857143,0.16296296296296295,0.17927170868347342,0.12955465587044537,0.17241379310344826
SP:067094eb895cfb0284a0caf20936d7e14d67a83f,0.21354166666666666,0.36929460580912865,0.4899845916795069,0.3304347826086957,0.19647355163727961,0.34343434343434354,0.07853403141361257,0.04583333333333333,0.11746522411128285,0.026315789473684213,0.005063291139240506,0.05273833671399594,0.14583333333333331,0.18257261410788383,0.19722650231124808,0.1826086956521739,0.09571788413098237,0.15757575757575756,0.14583333333333331,0.18257261410788383,0.19722650231124808,0.1826086956521739,0.09571788413098237,0.15757575757575756
SP:0749dc4e8d674165f59674dfb27595e14a8579bf,0.3681592039800995,0.5555555555555555,0.380952380952381,0.3240223463687151,0.31999999999999995,0.35200000000000004,0.1407035175879397,0.40322580645161293,0.06896551724137931,0.0790960451977401,0.07070707070707069,0.03252032520325203,0.25870646766169153,0.49206349206349204,0.20408163265306123,0.2458100558659218,0.22,0.208,0.25870646766169153,0.49206349206349204,0.20408163265306123,0.2458100558659218,0.22,0.208
SP:075a0f5059375273cf164aa933c57ea6fb458b51,0.4915254237288136,0.4444444444444444,0.3463687150837989,0.417910447761194,0.36649214659685864,0.3333333333333333,0.11965811965811965,0.13903743315508021,0.04519774011299436,0.1809045226130653,0.06349206349206349,0.04225352112676056,0.2627118644067797,0.2751322751322752,0.1564245810055866,0.2288557213930348,0.1675392670157068,0.20833333333333334,0.2627118644067797,0.2751322751322752,0.1564245810055866,0.2288557213930348,0.1675392670157068,0.20833333333333334
SP:07608ef77f2d3d1e6ec32e9756ec5f0be8684d18,0.37735849056603776,0.38974358974358975,0.384180790960452,0.32812499999999994,0.2545454545454546,0.3972602739726027,0.11464968152866244,0.10362694300518134,0.057142857142857134,0.09523809523809523,0.09259259259259259,0.125,0.26415094339622647,0.20512820512820512,0.21468926553672316,0.21875,0.2,0.273972602739726,0.26415094339622647,0.20512820512820512,0.21468926553672316,0.21875,0.2,0.273972602739726
SP:07773157ab0268944c905da340164535baa7df96,0.2568093385214008,0.20359281437125745,0.21348314606741572,0.3111111111111111,0.38743455497382207,0.4950495049504951,0.015686274509803918,0.07272727272727272,0.06818181818181819,0.0898876404494382,0.15873015873015875,0.22222222222222224,0.13229571984435795,0.1437125748502994,0.1348314606741573,0.18888888888888888,0.2513089005235602,0.31683168316831684,0.13229571984435795,0.1437125748502994,0.1348314606741573,0.18888888888888888,0.2513089005235602,0.31683168316831684
SP:07a8240bbbb9c1de11e1ba295a033f43cf2fe93f,0.28571428571428575,0.3137254901960784,0.35294117647058826,0.32380952380952377,0.3309352517985611,0.2786885245901639,0.06837606837606838,0.07999999999999999,0.07462686567164178,0.0970873786407767,0.058394160583941604,0.033333333333333326,0.18487394957983191,0.23529411764705882,0.23529411764705882,0.20952380952380953,0.17266187050359713,0.16393442622950816,0.18487394957983191,0.23529411764705882,0.23529411764705882,0.20952380952380953,0.17266187050359713,0.16393442622950816
SP:07bf013733ebff776af0148f30b28cc6c77a7b33,0.3310344827586207,0.27230046948356806,0.36162361623616235,0.29571984435797666,0.34920634920634924,0.28571428571428575,0.05555555555555555,0.03791469194312796,0.04460966542750929,0.04705882352941176,0.038338658146964855,0.01694915254237288,0.1793103448275862,0.14084507042253522,0.1918819188191882,0.17120622568093388,0.19682539682539682,0.13445378151260504,0.1793103448275862,0.14084507042253522,0.1918819188191882,0.17120622568093388,0.19682539682539682,0.13445378151260504
SP:08945ecebc73e7b3bd9dd2ae47c0d94311fb69b9,0.25000000000000006,0.2878787878787879,0.3770491803278689,0.32323232323232326,0.24468085106382978,0.19444444444444445,0.02298850574712644,0.046153846153846156,0.03333333333333333,0.07142857142857142,0.021505376344086023,0.028169014084507043,0.11363636363636365,0.16666666666666666,0.22950819672131145,0.21212121212121213,0.10638297872340426,0.1527777777777778,0.11363636363636365,0.16666666666666666,0.22950819672131145,0.21212121212121213,0.10638297872340426,0.1527777777777778
SP:08a291fdb9d394c11dbe0ed0a454be951740491f,0.35374149659863946,0.4247787610619469,0.36764705882352944,0.30769230769230765,0.4444444444444444,0.31932773109243695,0.09655172413793105,0.1801801801801802,0.13432835820895522,0.04687499999999999,0.19867549668874174,0.06837606837606837,0.217687074829932,0.2654867256637168,0.2647058823529412,0.1846153846153846,0.30065359477124187,0.18487394957983194,0.217687074829932,0.2654867256637168,0.2647058823529412,0.1846153846153846,0.30065359477124187,0.18487394957983194
SP:08f4cb10c1ccf3885e7cc5ee10a24615ac74bc69,0.3896103896103896,0.42647058823529416,0.3333333333333333,0.34782608695652173,0.29189189189189185,0.25663716814159293,0.12227074235807861,0.1111111111111111,0.10891089108910891,0.055776892430278883,0.06557377049180328,0.017857142857142856,0.18181818181818185,0.22058823529411764,0.20588235294117646,0.158102766798419,0.17297297297297295,0.168141592920354,0.18181818181818185,0.22058823529411764,0.20588235294117646,0.158102766798419,0.17297297297297295,0.168141592920354
SP:092f3b4cf74f66907abe82f4d528d0af5d19fd74,0.3564356435643564,0.39204545454545453,0.2909090909090909,0.2986111111111111,0.21794871794871795,0.2679738562091503,0.049999999999999996,0.08571428571428572,0.009174311926605505,0.04195804195804196,0.0,0.03947368421052632,0.1782178217821782,0.18181818181818182,0.18181818181818182,0.16666666666666666,0.14102564102564102,0.16993464052287582,0.1782178217821782,0.18181818181818182,0.18181818181818182,0.16666666666666666,0.14102564102564102,0.16993464052287582
SP:095d27873ce7f48cbaba835589a8202b75104924,0.466403162055336,0.3333333333333333,0.29677419354838713,0.3259911894273128,0.2755102040816327,0.20155038759689922,0.11155378486055777,0.06521739130434782,0.065359477124183,0.044444444444444446,0.051546391752577324,0.015748031496062992,0.2608695652173913,0.2043010752688172,0.16774193548387098,0.16740088105726872,0.163265306122449,0.12403100775193797,0.2608695652173913,0.2043010752688172,0.16774193548387098,0.16740088105726872,0.163265306122449,0.12403100775193797
SP:096121f11ca65612b8204b952097699aab1cab01,0.2604166666666667,0.22727272727272727,0.2797202797202797,0.27976190476190477,0.27906976744186046,0.3066202090592335,0.021052631578947368,0.007633587786259542,0.028368794326241138,0.029940119760479042,0.04694835680751173,0.04912280701754386,0.11458333333333331,0.09848484848484848,0.16783216783216784,0.1488095238095238,0.16744186046511625,0.16027874564459932,0.11458333333333331,0.09848484848484848,0.16783216783216784,0.1488095238095238,0.16744186046511625,0.16027874564459932
SP:0965e7ac3664634b5cfdc7acd2acd6057b0d0927,0.17600000000000002,0.3536977491961415,0.24369747899159663,0.23036649214659688,0.3728813559322034,0.2681564245810056,0.02419354838709677,0.10355987055016182,0.03389830508474576,0.03174603174603175,0.10344827586206896,0.056497175141242945,0.128,0.19935691318327975,0.13445378151260504,0.15706806282722513,0.22033898305084745,0.1564245810055866,0.128,0.19935691318327975,0.13445378151260504,0.15706806282722513,0.22033898305084745,0.1564245810055866
SP:097596ab2b4f87852126f755cf70ec66e5c6a9f4,0.3175965665236052,0.35772357723577236,0.3769633507853403,0.24761904761904763,0.381294964028777,0.2619047619047619,0.12121212121212119,0.11570247933884298,0.09523809523809525,0.10576923076923077,0.10144927536231883,0.0963855421686747,0.1888412017167382,0.1951219512195122,0.2094240837696335,0.15238095238095237,0.1726618705035971,0.17857142857142855,0.1888412017167382,0.1951219512195122,0.2094240837696335,0.15238095238095237,0.1726618705035971,0.17857142857142855
SP:097676b70983ff006342997928f26a7ab4eb36f7,0.291970802919708,0.3418803418803419,0.26153846153846155,0.4210526315789474,0.3151515151515151,0.2758620689655173,0.029629629629629627,0.10434782608695653,0.09375000000000001,0.10666666666666666,0.06134969325153374,0.06993006993006994,0.17518248175182483,0.2222222222222222,0.18461538461538463,0.2631578947368421,0.15757575757575756,0.2068965517241379,0.17518248175182483,0.2222222222222222,0.18461538461538463,0.2631578947368421,0.15757575757575756,0.2068965517241379
SP:09bb1ac6ec98450c2decddd7db64c80a703c8716,0.35690235690235694,0.3642611683848797,0.2887323943661972,0.41489361702127664,0.4861878453038674,0.3542857142857143,0.061016949152542375,0.06920415224913495,0.03546099290780142,0.12903225806451615,0.1564245810055866,0.10404624277456649,0.14814814814814814,0.15807560137457044,0.11267605633802817,0.1914893617021277,0.26519337016574585,0.17142857142857143,0.14814814814814814,0.15807560137457044,0.11267605633802817,0.1914893617021277,0.26519337016574585,0.17142857142857143
SP:09e78591958a3d9f6c27dbc76114c731b3be4108,0.37068965517241376,0.39682539682539686,0.35071090047393366,0.3069306930693069,0.45962732919254656,0.30939226519337015,0.043478260869565216,0.064,0.057416267942583726,0.05999999999999999,0.16352201257861634,0.0558659217877095,0.20689655172413793,0.20634920634920634,0.19905213270142177,0.1683168316831683,0.31055900621118016,0.1988950276243094,0.20689655172413793,0.20634920634920634,0.19905213270142177,0.1683168316831683,0.31055900621118016,0.1988950276243094
SP:0a3be0e67b80f13fd2e7fdc523f0a8e78fe289dd,0.3966244725738397,0.34862385321100914,0.3307086614173228,0.32748538011695905,0.32850241545893716,0.3723404255319149,0.17872340425531916,0.08333333333333333,0.05555555555555555,0.08284023668639054,0.0878048780487805,0.0967741935483871,0.27004219409282704,0.16513761467889906,0.1653543307086614,0.22222222222222224,0.24154589371980675,0.2127659574468085,0.27004219409282704,0.16513761467889906,0.1653543307086614,0.22222222222222224,0.24154589371980675,0.2127659574468085
SP:0a79d57d55650ede0193daa2499d0fe3f4d68f4b,0.3170731707317073,0.389261744966443,0.30120481927710846,0.35502958579881655,0.3440860215053763,0.3859649122807018,0.02469135802469136,0.04081632653061224,0.012195121951219513,0.0718562874251497,0.03260869565217392,0.0591715976331361,0.12195121951219512,0.17449664429530204,0.1566265060240964,0.18934911242603553,0.17204301075268816,0.17543859649122806,0.12195121951219512,0.17449664429530204,0.1566265060240964,0.18934911242603553,0.17204301075268816,0.17543859649122806
