,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale,Bert_Rescale
,1-2,1-3,1-4,1-5,2-3,2-4,2-5,3-4,3-5,4-5
paper_id,,,,,,,,,,
SP:04abdf6d039513f23e00e6686832cd4b950f1d75,-0.03735429421067238,-0.03399713709950447,-0.00995528232306242,-0.040120258927345276,0.12155870348215103,0.16988997161388397,0.10543332248926163,0.165093332529068,0.21163195371627808,0.11728721112012863
SP:173177f78449ef09647670389b0ffba1e35db0ba,0.10600050538778305,0.1265305131673813,0.1676071435213089,0.07666440308094025,0.008492132648825645,0.2419946938753128,0.18006916344165802,0.09873172640800476,0.05754350498318672,0.18705081939697266
SP:45d0d17b384044473db2e2e164c56558044d2542,0.10164813697338104,0.11412923038005829,0.08132649213075638,0.22390751540660858,0.11193503439426422,0.04639700800180435,0.09895563125610352,0.0032762836199253798,0.08184493333101273,0.08598858118057251
SP:71bc23f11137956757268354ed02ac3799373323,0.13724863529205322,0.22675082087516785,0.14383439719676971,0.2285226285457611,0.2197052389383316,0.11120681464672089,0.15925732254981995,0.1648150384426117,0.24257953464984894,0.17849794030189514
SP:94f20c8d3fe45e4943690240a38f325fb377bf3a,-0.089297354221344,0.03182730823755264,-0.011638805270195007,-0.01622602716088295,0.06636442989110947,0.16830216348171234,0.09716863185167313,0.15692998468875885,0.1067294329404831,0.1387944221496582
SP:98450ef54b363e5e68b19b7bc1327490d69825fa,0.03756583854556084,0.004795586224645376,0.11963538080453873,0.07681131362915039,0.04869397357106209,0.14849260449409485,0.07264047116041183,0.058592747896909714,0.07139310240745544,0.3306436538696289
SP:b4f4d7fa65a97351a51241ef5aca4f8315c35c5b,0.10784082859754562,0.1508365273475647,0.15961191058158875,0.014852226711809635,0.7673884630203247,0.2061491161584854,0.15401463210582733,0.2666408121585846,0.1949319839477539,0.18307280540466309
SP:c1bfd8893b1f9e54afbe95410eae68f08eed1f9d,0.11596143990755081,0.1330844908952713,0.21631135046482086,0.1715964525938034,0.1661348044872284,0.13191165030002594,0.15167883038520813,0.16164682805538177,0.07870779186487198,0.14503902196884155
SP:f88a0263fe87db598ed9d3b537430324ee29ddf2,0.07126490771770477,0.19014911353588104,0.09508144110441208,0.28627732396125793,0.13330592215061188,-0.027271166443824768,0.1162012368440628,0.03603452816605568,0.24054884910583496,0.14473919570446014
SP:fbcb2bbd4ca1133e8ae2178e02d3a7393ec4e05d,0.12042540311813354,0.20270578563213348,0.19676771759986877,0.18458327651023865,0.33135315775871277,0.33704718947410583,0.23551523685455322,0.37247779965400696,0.26762932538986206,0.20091348886489868
