,no. summaries,min,mean,max
0,2,7.035175879396981,19.019899767173026,76.40449438202246
1,3,5.75022461814914,19.131867513573493,72.72727272727273
2,4,4.444444444444439,19.181832229936642,52.77777777777778
3,5,8.49056603773584,18.81900558492579,82.68156424581005
4,6,9.86842105263157,20.03261933000531,100.0
5,7,7.035175879396981,17.43140777460476,61.33333333333334
